officer_name,officer_id,pve_captain,pve_bridge,pve_below_decks,pvp_captain,pvp_bridge,pvp_below_decks
Honorguard Worf,honorguard-worf-8ac58c,,,,,,
Hoshi Sato,hoshi-sato-3bc529,,,,,,x
Hugh,hugh-9fc348,,,,,,x
Icheb,icheb-fb3bd7,,,,,,
Ikat’Ika,ikatika-4fa1ba,,,,,,
Infiltrator Tuvok,infiltrator-tuvok-5d3048,,,,,,
Instr. Spock,instr-spock-bba5d7,,,,,,
Jack Ransom,jack-ransom-dfdb38,,,,,,
Jadzia Dax,jadzia-dax-736698,,,,,,
Javaid,javaid-fdff59,,,,,,
Jaylah,jaylah-857412,,,,,,
Jean-Luc Picard,jean-luc-picard-e0515c,,,,,,
Jirali,jirali-551c28,,,,,,x
Joachim,joachim-03587e,,,,,,
Joaquin,joaquin-697b4c,,,,,,
Jonathan Archer,jonathan-archer-4e9cd0,,,,,,
Julian Bashir,julian-bashir-0551fa,,,,,,
K'Bisch,k-bisch-b6c84c,,,,,,
Kang,kang-55e67a,,,,,,
Kathryn Janeway,kathryn-janeway-bd4a19,,,,,,
Kati,kati-01ab4d,,,,,,
Keenser,keenser-3a5ad4,,,,,,
Kerla,kerla-6cdf45,,,,,,
Khan,khan-3f1d1e,,,,,,
Kira Nerys,kira-nerys-a5253a,,,,,,
Kirk,kirk-1323b6,,,,,,
Klaa,klaa-acbd92,,,,,,
Komal,komal-357fb2,,,,,,
Koth,koth-c70d1c,,,,,,
Kras,kras-a47042,,,,,,
Krell,krell-ef559b,,,,,,
Kumak,kumak-c5b0db,,,,,,
Kuron,kuron-15cda2,,,,,,
L'Nar,l-nar-ae14f4,,,,,,
Laliari,laliari-87e81a,,,,,,x
Leslie,leslie-975ce0,,,,,,
Lieutenant Picard,lieutenant-picard-6303e7,,,,,,
Linkasa,linkasa-01a1b3,,,,,,
Livis,livis-43235e,,,,,,
Lorca,lorca-d32ec8,,,,,,
Lursa,lursa-57a544,,,,,,
M'Benga,m-benga-53446d,,,,,,
M'Ral,m-ral-986e7a,,,,,,
Mara,mara-bd3ca6,,,,,,
Mara Dalen,mara-dalen-6827,,,,,,x
Marcus,marcus-073931,,,,,,
Mariachi Q,mariachi-q-c8cf6e,,,,,,
Marla,marla-9732c7,,,,,,
Martok,martok-89ef39,,,,,,
Masriad Vael,masriad-vael-50cf64,,,,,,x
Mavery,mavery-60052a,,,,,,
Michael Burnham,michael-burnham-6c711c,,,,,,
Miles O'Brien,miles-o-brien-f0c92f,,,,,,x
Mirek,mirek-953093,,,,,,
Mirror Data,mirror-data-e13d66,,,,,,
Mirror Ezri,mirror-ezri-2f6326,,,,,,
Mirror Kira,mirror-kira-bc42ce,,,,,,
Mirror Picard,mirror-picard-7c1a17,,,,,,
Mirror Troi,mirror-troi-d237df,,,,,,
Mirror Uhura,mirror-uhura-0a7168,,,,,,x
Miss Q,miss-q-cc911e,,,,,,
Mitchell,mitchell-0217f7,,,,,,
Moreau,moreau-23ddb4,,,,,,
Mudd,mudd-32546a,,,,,,
Mäkinen,makinen-a124a0,,,,,,
Naga Delvos,naga-delvos-aa4e10,,,,,,x
Navi,navi-0b328a,,,,,,
Neelix,neelix-c8a380,,,,,,x
Nero,nero-1aeca9,,,,,,
Nesmith,nesmith-8d3e34,,,,,,
Next Gen Crusher,next-gen-crusher-0de02d,,,,,,
Next Gen Data,next-gen-data-5e7215,,,,,,
Next Gen La Forge,next-gen-la-forge-ee6d76,,,,,,
Next Gen Riker,next-gen-riker-44ccee,,,,,,
Next Gen Troi,next-gen-troi-ccf26b,,,,,,
Nine Of Eleven,nine-of-eleven-8c475b,,,,,,
Nog,nog-0c9672,,,,,,
Odo,odo-04a97d,,,,,,
One Of Eleven,one-of-eleven-ee0ee9,,,,,,
Origins Burnham,origins-burnham-e854d6,,,,,,
Origins Saru,origins-saru-753b24,,,,,,
Origins Stamets,origins-stamets-b0decf,,,,,,
Otto,otto-cb0fb6,,,,,,
Pan,pan-13e04e,,,,,,
Paul Stamets,paul-stamets-4aa6ab,,,,,,
Phellun,phellun-c3188c,,,,,,x
Phlox,phlox-72c07b,,,,,,
PIC Admiral Picard,pic-admiral-picard-5f2936,,,,,,
PIC Beverly Crusher,pic-beverly-crusher-26f56a,,,,,,x
PIC Hugh,pic-hugh-75d78e,,,,,,
PIC Riker,pic-riker-61815c,,,,,,
PIC Worf,pic-worf-0f1290,,,,,,
Pike,pike-1e7d0d,,,,,,
Pon,pon-a2ddd4,,,,,,
Qa'Ug,qa-ug-a165bf,,,,,,
Quark,quark-2fd57b,x,,,x,,
Quasi,quasi-bf8173,,,,,,x
Rachel Garrett,rachel-garrett-4f15c8,,,,,,x
Reginald Barclay,reginald-barclay-111169,,,,,,x
Rima,rima-26c9f4,,,,,,
Ro Mudd,ro-mudd-21a89a,,,,,,
Rom,rom-621ae3,,,,,,
Romi,romi-270f19,,,,,,
Rukor,rukor-9d7beb,,,,,,
S31 Georgiou,s31-georgiou-91b91d,,,,,,
Sam Rutherford,sam-rutherford-927c93,,,,,,
Saru,saru-68cf4f,,,,,,
Scotty,scotty-a83cb5,,,,,,
Sela,sela-bd6e1b,,,,,,
Sesha,sesha-631428,,,,,,
Seska,seska-848b5b,,,,,,x
Seven Of Eleven,seven-of-eleven-e45727,,,,,,
Seven Of Nine,seven-of-nine-d18a5e,,,,,,
Severus,severus-93daaf,,,,,,
Shaxs,shaxs-11a808,,,,,,
Shev,shev-1799cb,,,,,,
Shran,shran-f9ae44,,,,,,x
Six Of Eleven,six-of-eleven-20cbe8,,,,,,
SNW D'Chok,snw-d-chok-34f7ba,,,,,,
SNW Hemmer,snw-hemmer-330aae,,,,,,
SNW James Kirk,snw-james-kirk-6f6300,,,,,,
SNW La'an,snw-la-an-abc92f,,,,,,x
Snw M’Benga,snw-mbenga-fe38e5,,,,,,
SNW Nurse Chapel,snw-nurse-chapel-d80ed9,,,,,,x
SNW Ortegas,snw-ortegas-7c79fe,,,,,,
SNW Pelia,snw-pelia-9d33f1,,,,,,
SNW Pike,snw-pike-c94ac4,,,,,,
SNW Sam Kirk,snw-sam-kirk-0a77f9,,,,,,
Snw Scotty,snw-scotty-1dd4c3,,,,,,
SNW Spock,snw-spock-40de97,,,,,,
SNW T'Pring,snw-t-pring-16cf8d,,,,,,x
SNW Uhura,snw-uhura-ff7333,,,,,,
SNW Una,snw-una-2b6e15,,,,,,
Soran,soran-24a024,,,,,,
Specialist Seven,specialist-seven-7b554a,,,,,,
Spock,spock-c04738,,,,,,
Starfleet Q,starfleet-q-3c61cb,,,,,,
Stonn,stonn-95a1f6,,,,,,
Strike Team La'an,strike-team-la-an-84e2a9,,,,,,
Strike Team Ortegas,strike-team-ortegas-d9df30,,,,,,
Strike Team Una,strike-team-una-5ec6f6,,,,,,
Suder,suder-d348a9,,,,,,x
Sulu,sulu-fe562d,,,,,,
T'Laan,t-laan-c4627b,,,,,,
T'Pol,t-pol-3164c1,,,,,,x
T'Pring,t-pring-9bade6,,,,,,
Tal,tal-c3e4eb,,,,,,
Tasha Yar,tasha-yar-b9300c,,,,,,
Ten Of Eleven,ten-of-eleven-51fe63,,,,,,
The Doctor,the-doctor-327fc3,,,,,,x
The Hierarch,the-hierarch-e1f430,,,,,,
Three Of Eleven,three-of-eleven-d5568f,,,,,,
Tilly,tilly-6bd08f,,,,,,
Tiza,tiza-9d38f9,,,,,,
TMP Hikaru Sulu,tmp-hikaru-sulu-c73326,,,,,,
TMP Nyota Uhura,tmp-nyota-uhura-802f0c,,,,,,x
Toli,toli-2d704a,,,,,,x
Tom Paris,tom-paris-3640cc,,,,,,x
Tomalak,tomalak-0ff09c,,,,,,
TOS Chekov,tos-chekov-0f158d,,,,,,
TOS Kirk,tos-kirk-bc6d1b,,,,,,
TOS McCoy,tos-mccoy-fff2e0,,,,,,
TOS Scotty,tos-scotty-c747f6,,,,,,
TOS Spock,tos-spock-86f176,,,,,,
TOS Sulu,tos-sulu-0d02c3,,,,,,
TOS Uhura,tos-uhura-44419b,,,,,,
Trip Tucker,trip-tucker-75d4f9,,,,,,x
Tuvok,tuvok-5ceab0,,,,,,x
Two Of Eleven,two-of-eleven-c4f4d6,,,,,,
Tyler,tyler-1dcc4d,,,,,,
Uhura,uhura-ea117c,,,,,,
Vartoq,vartoq-9109e7,,,,,,
Vel,vel-f335b3,,,,,,
Vella,vella-7ab77e,,,,,,
Vemet,vemet-00a218,,,,,,
Vil Gul Dukat,vil-gul-dukat-c46cb8,,,,,,
Vil Winn Adami,vil-winn-adami-6c42f3,,,,,,
Vixis,vixis-9eec06,,,,,,
Wesley Crusher,wesley-crusher-834fce,,,,,,
Weyoun,weyoun-e042c4,,,,,,
William T. Riker,william-t-riker-ddebb5,,,,,,
Wok Carol,wok-carol-52a350,,,,,,x
WOK Joachim,wok-joachim-858f5a,,,,,,
Wok Mccoy,wok-mccoy-f09b41,,,,,,x
WOK Saavik,wok-saavik-65f1bb,,,,,,x
Wok Scotty,wok-scotty-57ed85,,,,,,x
Worf,worf-c55d58,,,,,,
Woteln,woteln-c67650,,,,,,
Yan'Agh,yan-agh-dd8637,,,,,,
Yuki,yuki-1ab97a,,,,,,
Zahra,zahra-e3f002,,,,,,
Zefram Cochrane,zefram-cochrane-f8a1c2,,,,,,x
Zeph,zeph-21ee5c,,,,,,x
Zhou,zhou-5d4d4b,,,,,,
