Player Name	Player Level	Outcome	Ship Name	Ship Level	Ship Strength	Ship XP	Officer One	Officer Two	Officer Three	Hull Health	Hull Health Remaining	Shield Health	Shield Health Remaining	Location	Timestamp
HiggsBozo	60	DEFEAT	U.S.S. ENTERPRISE-D	55	2551528704	7	Dajash Tolra	Toli	Byr Ch'Kelrer	1995070449	0	2170702380	2170702380	Emissius	2026-06-20 1:19:52 AM
Xindi-Aquatic Cruiser	51	VICTORY	Xindi-Aquatic Cruiser	51	2351456845824	0	Xindi-Aquatic	--	--	2573289139061	2572758641684	1715526092707	1714713558750	Emissius	2026-06-20 1:19:52 AM

Reward Name	Count

Fleet Type	Attack	Defense	Health	Ship Ability	Captain Maneuver	Officer One Ability	Officer Two Ability	Officer Three Ability	Officer Attack Bonus	Damage Per Round	Armour Pierce	Shield Pierce	Accuracy	Critical Chance	Critical Damage	Officer Defense Bonus	Armour	Shield Deflection	Dodge	Officer Health Bonus	Shield Health	Hull Health	Impulse Speed	Warp Range	Warp Speed	Cargo Capacity	Protected Cargo	Mining Bonus	Debuff applied	Buff applied
Player Fleet 1	395817376	148547056	2007164160	Galaxy Class	Safe Cracker	No Locked Doors	The Looking Glass	Excessive Measures	6.5	335580384	3245484	3245484	38715557	0.4	3.19	6.5	1928959	25826336	1954117	6.5	2019258028	1995070449	207	1262	232.32	2653410	0	1	NO	NO
Enemy Fleet 1	207045492736	3616020	2144407650304	Strength of the Ibix---Be Like Water	--	--	--	--	0	207043264512	476450	88360	176720	0.22	2.91	0	37337	37337	648530	0	1715526041600	2573289127936	25	2	2	0	0	1	NO	NO

Round	Battle Event	Type	Attacker Name	Attacker Alliance	Attacker Ship	Attacker - Is Armada?	Target Name	Target Alliance	Target Ship	Target - Is Armada?	Hyperthermic Decay %	Hyperthermic Stablizer %	Critical Hit?	Hull Damage	Shield Damage	Mitigated Damage	Mitigated Isolytic Damage	Mitigated Apex Barrier	Total Damage	Total Isolytic Damage	Mitigated Critical Damage	Ability Type	Ability Value	Ability Name	Ability Owner Name	Target Defeated	Target Destroyed	Charging Weapons %
1	11	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	229275	0	612163	0	18341	859779	0	0	--	--	--	--	--	--	--
1	12	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	236926	0	632591	0	18954	888471	0	0	--	--	--	--	--	--	--
1	13	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	244333	0	652369	0	19546	916248	0	0	--	--	--	--	--	--	--
1	14	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	235679	0	629263	0	18854	883796	0	0	--	--	--	--	--	--	--
1	15	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	238073	0	635653	0	19045	892771	0	0	--	--	--	--	--	--	--
1	16	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	243805	0	650958	0	19504	914267	0	0	--	--	--	--	--	--	--
1	17	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	241403	0	644547	0	19312	905262	0	0	--	--	--	--	--	--	--
1	18	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	--	--	NO	68186536	104437600	5507283	0	0	33711467	144419952	0	--	--	--	--	--	--	--
1	19	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	--	--	YES	110683376	169527712	8939664	0	0	54721952	234428800	0	--	--	--	--	--	--	--
1	20	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	--	--	NO	66629828	102053280	5381551	0	0	32941827	141122832	0	--	--	--	--	--	--	--
1	21	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	--	--	YES	104957344	160757456	8477185	0	0	51890993	222300992	0	--	--	--	--	--	--	--
1	22	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	--	--	YES	111646952	171003568	9017490	0	0	55198346	236469664	0	--	--	--	--	--	--	--
1	23	Attack	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	--	--	NO	68393336	104754352	5523986	0	0	33813722	144857952	0	--	--	--	--	--	--	--
1	24	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	0.05	Excessive Measures	Byr Ch'Kelrer	--	--	--
1	25	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	195735	0	522613	0	15658	734006	0	0	--	--	--	--	--	--	--
1	26	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	205311	0	548179	0	16424	769914	0	0	--	--	--	--	--	--	--
1	27	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	199010	0	531356	0	15920	746286	0	0	--	--	--	--	--	--	--
1	28	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	207966	0	555268	0	16637	779871	0	0	--	--	--	--	--	--	--
1	29	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	198233	0	529280	0	15858	743371	0	0	--	--	--	--	--	--	--
1	30	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	208515	0	556735	0	16681	781931	0	0	--	--	--	--	--	--	--
1	31	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	203573	0	543540	0	16285	763398	0	0	--	--	--	--	--	--	--
1	32	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	209321	0	558887	0	16745	784953	0	0	--	--	--	--	--	--	--
1	33	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	203758	0	544034	0	16300	764092	0	0	--	--	--	--	--	--	--
1	34	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	208018	0	555407	0	16641	780066	0	0	--	--	--	--	--	--	--
1	35	Charging Weapons	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	100
1	36	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	0.05	Excessive Measures	Byr Ch'Kelrer	--	--	--
1	37	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	130188	0	347602	0	10415	488205	0	0	--	--	--	--	--	--	--
1	38	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	129161	0	344860	0	10332	484353	0	0	--	--	--	--	--	--	--
1	39	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	137724	0	367722	0	11017	516463	0	0	--	--	--	--	--	--	--
1	40	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	138524	0	369858	0	11081	519463	0	0	--	--	--	--	--	--	--
1	41	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	129876	0	346768	0	10390	487034	0	0	--	--	--	--	--	--	--
1	42	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	135723	0	362381	0	10857	508961	0	0	--	--	--	--	--	--	--
1	43	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	130542	0	348546	0	10443	489531	0	0	--	--	--	--	--	--	--
1	44	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	129777	0	346504	0	10382	486663	0	0	--	--	--	--	--	--	--
1	45	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	132555	0	353923	0	10604	497082	0	0	--	--	--	--	--	--	--
1	46	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	137663	0	367561	0	11013	516237	0	0	--	--	--	--	--	--	--
1	47	Charging Weapons	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	100
1	48	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	0.05	Excessive Measures	Byr Ch'Kelrer	--	--	--
1	49	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	97658	0	260745	0	7812	366215	0	0	--	--	--	--	--	--	--
1	50	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	104853	0	279957	0	8388	393198	0	0	--	--	--	--	--	--	--
1	51	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	104945	0	280202	0	8395	393542	0	0	--	--	--	--	--	--	--
1	52	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	100107	0	267286	0	8008	375401	0	0	--	--	--	--	--	--	--
1	53	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	102066	0	272516	0	8165	382747	0	0	--	--	--	--	--	--	--
1	54	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	100949	0	269534	0	8075	378558	0	0	--	--	--	--	--	--	--
1	55	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	103785	0	277105	0	8302	389192	0	0	--	--	--	--	--	--	--
1	56	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	101610	0	271299	0	8128	381037	0	0	--	--	--	--	--	--	--
1	57	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	0	0	0	0	0	0	0	0	--	--	--	--	--	--	--
1	58	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	103786	0	277108	0	8302	389196	0	0	--	--	--	--	--	--	--
1	59	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	0.05	Excessive Measures	Byr Ch'Kelrer	--	--	--
1	60	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6451629	0	17225848	0	516129	24193606	0	0	--	--	--	--	--	--	--
1	61	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6486007	0	17317638	0	518880	24322525	0	0	--	--	--	--	--	--	--
1	62	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6294462	0	16806212	0	503556	23604230	0	0	--	--	--	--	--	--	--
1	63	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6472387	0	17281270	0	517790	24271447	0	0	--	--	--	--	--	--	--
1	64	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6385883	0	17050306	0	510870	23947059	0	0	--	--	--	--	--	--	--
1	65	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6214167	0	16591824	0	497132	23303123	0	0	--	--	--	--	--	--	--
1	66	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6259293	0	16712310	0	500742	23472345	0	0	--	--	--	--	--	--	--
1	67	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6081538	0	16237704	0	486522	22805764	0	0	--	--	--	--	--	--	--
1	68	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6411095	0	17117622	0	512887	24041604	0	0	--	--	--	--	--	--	--
1	69	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	YES	6355202	0	16968388	0	508415	23832005	0	0	--	--	--	--	--	--	--
1	70	Officer Ability	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	Officer	0.05	Excessive Measures	Byr Ch'Kelrer	--	--	--
1	71	Attack	Xindi-Aquatic Cruiser	--	Xindi-Aquatic Cruiser	NO	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	--	--	NO	3733333504	0	9968000000	0	298666368	13999999872	0	0	--	--	--	--	--	--	--
1	72	Combatant Destroyed	HiggsBozo	INFINITE	U.S.S. ENTERPRISE-D	NO	Xindi-Aquatic Cruiser	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--

