Default Order,OfficerName,AbilityType,OfficerSynergy,AbilityModifier,AbilityConditions,AbilityTrigger,AbilityTarget,AbilityOperation,AbilityAttributes,AbilityDescription,AbilityDescriptionShort,AbilityChances,AbilityValues,AbilityHasChance,AbilityShowPercentage,Tag_PvPinSpace,Tag_PvPinSpace_Reason,Tag_PvPStation,Tag_PvPStation_Reason,Tag_NonArmadaHostiles,Tag_NonArmadaHostiles_Reason,Tag_WaveDefense,Tag_WaveDefense_Reason,Tag_MissionBosses,Tag_MissionBosses_Reason,Tag_QTrial,Tag_QTrial_Reason,Tag_SoloArmadas,Tag_SoloArmadas_Reason,Tag_GroupArmadas,Tag_GroupArmadas_Reason,Tag_Assaults,Tag_Assaults_Reason,Tag_InvadingEntities,Tag_InvadingEntities_Reason,Tag_OutpostArmadas,Tag_OutpostArmadas_Reason,Tag_OutpostRetaliators,Tag_OutpostRetaliators_Reason,Tag_Loot,Tag_Loot_Reason,Tag_Utility,Tag_Utility_Reason,AbilityID,OfficerId,OfficerArt,OfficerRarity,Requires_StateSelf,Requires_StateTarget,Conditional_Reason,AbilityChance_1,AbilityChance_2,AbilityChance_3,AbilityChance_4,AbilityChance_5,AbilityValue_1,AbilityValue_2,AbilityValue_3,AbilityValue_4,AbilityValue_5,Column 1,Column 2
11,ARKADY,CM,ENTERPRISE CREW,AddState,,ShieldsDepleted,SelfShip,Set,"num_rounds=3, state=8","When the shield is depleted, Arkady has a X chance of inspiring Morale to the ship for 3 rounds.",X chance to inspire Morale for 3 rounds when the Shield is depleted,"0.5, 0.1, 0.2","1.0, 1.0, 1.0",TRUE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AddState,➖,AddState,4151870740,282462507,6,Uncommon,,,,0.5,0.1,0.2,,,1,1,1,,,,
12,ARKADY,OA,ENTERPRISE CREW,ShieldHPMax,,ShipLaunched,SelfShip,MultiplyAdd,,Arkady increases the Shield Health of the ship by X.,+X to the Shield Health of the Ship,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.12, 0.14, 0.16, 0.2",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ShieldHPMax,➖,ShieldHPMax,3062248728,282462507,6,Uncommon,,,,1,1,1,1,1,0.1,0.12,0.14,0.16,0.2,,
13,UHURA,CM,ENTERPRISE CREW,AllReloadSpeed,,ShieldsDepleted,EnemyShip,Add,num_rounds=2,"When the shield is depleted, Uhura has a X chance of delaying the next opponent weapon fire by one Round.",X chance to delay opponent's fire by 1 round when the Shield is depleted,"0.5, 0.1, 0.2","1.0, 0.0, 0.0",TRUE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AllReloadSpeed,➖,AllReloadSpeed,3587051486,2695272429,7,Rare,,,,0.5,0.1,0.2,,,1,0,0,,,,
14,UHURA,OA,ENTERPRISE CREW,Accuracy,,ShipLaunched,SelfShip,MultiplyAdd,,Uhura increases the Accuracy of the ship she's in by X.,+X to this ship's Accuracy,"1.0, 1.0, 1.0, 1.0, 1.0","0.4, 0.5, 0.6, 0.7, 0.8",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,Accuracy,➖,Accuracy,2416805344,2695272429,7,Rare,,,,1,1,1,1,1,0.4,0.5,0.6,0.7,0.8,,
15,GORKON,CM,KLINGON PATRIOTS,CritChance,,CombatStart,SelfShip,Add,num_rounds=2,Gorkon increases the chances of dealing a Critical Hit by  X for the first 2 Rounds.,+X bonus to Critical Hit Chances for the first 2 Rounds,"1.0, 1.0, 1.0","0.1, 0.05, 0.1",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,CritChance,➖,CritChance,674724565,1465017198,8,Epic,,,,1,1,1,,,0.1,0.05,0.1,,,,
16,GORKON,OA,KLINGON PATRIOTS,AddState,,CriticalShotFired,EnemyShip,Set,"num_rounds=3, state=4","When the ship hits the opponent with a Critical Hit, Gorkon has a X chance of causing a Hull Breach for three rounds on the opponent's ship.",X chance to cause a Hull Breach for 3 Rounds when hitting with a Critical Hit,"0.7, 0.75, 0.8, 0.85, 0.9","0.7, 0.75, 0.8, 0.85, 0.9",TRUE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AddState,➖,AddState,3732921554,1465017198,8,Epic,,,,0.7,0.75,0.8,0.85,0.9,0.7,0.75,0.8,0.85,0.9,,
17,CHANG,CM,KLINGON PATRIOTS,AllDamage,HullHealthBelow,RoundStart,SelfShip,MultiplyAdd,"num_rounds=1, percentage=0.6","As long as the opponent's ship Hull Health is under 60%, Chang increases the Damage of the weapons by X.",+X to Damage if the opponent's Hull Health under 60%,"1.0, 1.0, 1.0","0.1, 0.1, 0.2",FALSE,TRUE,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,✴️,HullHealthBelow,➖,AllDamage,➖,AllDamage,242644831,1730335425,9,Rare,,,HullHealthBelow,1,1,1,,,0.1,0.1,0.2,,,,
18,CHANG,OA,KLINGON PATRIOTS,AllReloadSpeed,"TargetNotArmada, TargetNotASB, TargetHasHullBreach",CriticalShotFired,EnemyShip,Add,num_rounds=1,"If the ship deals a Critical Hit to the opponent's ship while it has a Hull Breach, Chang has a X chance of delaying its next weapon attack by 1 round.",X chance to delay opponent's weapon fire for 1 round with a Critical Hit on a Hull Breach,"0.3, 0.35, 0.4, 0.45, 0.5","1.0, 1.0, 1.0, 1.0, 1.0",TRUE,TRUE,✴️,TargetHasHullBreach,✴️,TargetHasHullBreach,✴️,TargetHasHullBreach,✴️,TargetHasHullBreach,✴️,TargetHasHullBreach,✴️,TargetHasHullBreach,➖,TargetNotArmada,➖,TargetNotArmada,➖,TargetNotASB,➖,TargetNotArmada,✴️,TargetHasHullBreach,✴️,TargetHasHullBreach,➖,AllReloadSpeed,➖,AllReloadSpeed,2157413500,1730335425,9,Rare,,Hull Breach,TargetHasHullBreach,0.3,0.35,0.4,0.45,0.5,1,1,1,1,1,,
19,KERLA,CM,KLINGON PATRIOTS,ShipDodge,,ShieldsDepleted,SelfShip,MultiplyAdd,,"When the shields are depleted during battle, Kerla increases the Dodge of the ship by X.",+X to Dodge when the Shields are depleted,"1.0, 1.0, 1.0","0.5, 0.1, 0.25",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ShipDodge,➖,ShipDodge,228933399,3880112208,10,Rare,,,,1,1,1,,,0.5,0.1,0.25,,,,
20,KERLA,OA,KLINGON PATRIOTS,CritDamage,ModuleKinetic,CombatStart,SelfShip,Add,,Kerla increases the Critical Hit Damage by X when firing with a Kinetic Weapon.,+X to Critical Damage with Kinetic weapons,"1.0, 1.0, 1.0, 1.0, 1.0","0.2, 0.25, 0.3, 0.4, 0.5",FALSE,TRUE,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,✴️,ModuleKinetic,➖,CritDamage,➖,CritDamage,1118413176,3880112208,10,Rare,,,ModuleKinetic,1,1,1,1,1,0.2,0.25,0.3,0.4,0.5,,
21,AZETBUR,CM,KLINGON PATRIOTS,AddState,HitEnemyWithKinetic,EnemyTakesHit,EnemyShip,Set,"num_rounds=2, state=4","When hitting the enemy with a Kinetic weapon attack, Azetbur has a X chance of causing a Hull Breach for 2 rounds on the opponent's ship. -- (Weapons with multiple shots will only trigger this ability once per attack.)",X to cause a Hull Breach for 2 rounds after hitting with a kinetic weapon,"0.2, 0.05, 0.15","1.0, 1.0, 1.0",TRUE,TRUE,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,✴️,HitEnemyWithKinetic,➖,AddState,➖,AddState,1262973132,2475235160,11,Rare,,,HitEnemyWithKinetic,0.2,0.05,0.15,,,1,1,1,,,,
22,AZETBUR,OA,KLINGON PATRIOTS,ArmorPiercing,,EnemyTakesHit,SelfShip,MultiplyAdd,,"Every time the ship hits the opponent with a weapon attack, Azetbur increases the Armor Piercing of the ship by X. -- (Weapons with multiple shots will only trigger this ability once per attack.)",+X To Armor Piercing every time the ship hits,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.15, 0.2, 0.3, 0.4",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ArmorPiercing,➖,ArmorPiercing,3301945997,2475235160,11,Rare,,,,1,1,1,1,1,0.1,0.15,0.2,0.3,0.4,,
23,KOTH,CM,KLINGON PATRIOTS,RepairTime,SelfInterceptor,ShipRecalled,SelfShip,MultiplyAdd,,Koth decreases the time needed to repair the ship by X if it is an Interceptor.,+X to Repair speed on this ship if it is an Interceptor,"1.0, 1.0, 1.0","0.2, 0.05, 0.1",FALSE,TRUE,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,✅,,2092278144,250991574,12,Uncommon,,,,1,1,1,,,0.2,0.05,0.1,,,,
24,KOTH,OA,KLINGON PATRIOTS,AllDamage,"ModuleKinetic, TargetHasHullBreach",RoundStart,SelfShip,MultiplyAdd,,"As long as the opponent's ship has a Hull Breach, Koth increases the damage dealt by Kinetic Weapons by X.",+X to Kinetic damage while the opponent has a Hull Breach,"1.0, 1.0, 1.0, 1.0, 1.0","0.05, 0.1, 0.15, 0.2, 0.25",FALSE,TRUE,✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",✴️,"ModuleKinetic, TargetHasHullBreach",➖,AllDamage,➖,AllDamage,1880351032,250991574,12,Uncommon,,Hull Breach,"ModuleKinetic, TargetHasHullBreach",1,1,1,1,1,0.05,0.1,0.15,0.2,0.25,,
25,WOTELN,CM,KLINGON PATRIOTS,AllDamage,EnemyBattleship,CombatStart,SelfShip,MultiplyAdd,,"If the opponent's ship is a Battleship, Woteln increases the Damage of the weapons by X.",+X to Damage if the opponent is a Battleship,"1.0, 1.0, 1.0","0.1, 0.05, 0.1",FALSE,TRUE,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,✴️,EnemyBattleship,➖,AllDamage,➖,AllDamage,4287045306,98548875,13,Uncommon,,,EnemyBattleship,1,1,1,,,0.1,0.05,0.1,,,,
26,WOTELN,OA,KLINGON PATRIOTS,ShipDodge,SelfInterceptor,ShipLaunched,SelfShip,MultiplyAdd,,"If the ship is an Interceptor, Woteln increases its Dodge value by X.",+X to Dodge when aboard an Interceptor,"1.0, 1.0, 1.0, 1.0, 1.0","0.15, 0.2, 0.25, 0.3, 0.4",FALSE,TRUE,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,✴️,SelfInterceptor,➖,ShipDodge,➖,ShipDodge,2759234550,98548875,13,Uncommon,,,SelfInterceptor,1,1,1,1,1,0.15,0.2,0.25,0.3,0.4,,
27,M'RAL,CM,KLINGON PATRIOTS,ArmorPiercing,,ShipLaunched,SelfShip,MultiplyAdd,,M'ral increases the Armor Piercing of the ship by X.,+X to Armor Piercing,"1.0, 1.0, 1.0","0.2, 0.05, 0.1",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,ArmorPiercing,➖,ArmorPiercing,508362235,3221819893,14,Uncommon,,,,1,1,1,,,0.2,0.05,0.1,,,,
28,M'RAL,OA,KLINGON PATRIOTS,OfficerStatAttack,,ShipLaunched,SelfBridge,MultiplyAdd,,M'ral increases the total Attack of all Officers on the bridge by X.,+X bonus to the Attack of the bridge Officers,"1.0, 1.0, 1.0, 1.0, 1.0","0.1, 0.15, 0.2, 0.25, 0.3",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatAttack,➖,OfficerStatAttack,1987416811,3221819893,14,Uncommon,,,,1,1,1,1,1,0.1,0.15,0.2,0.25,0.3,,
29,NERO,CM,NERO'S CREW,AllDamage,TargetHasBurning,RoundStart,SelfShip,MultiplyAdd,num_rounds=1,"At the beginning of each round, if the opponent's ship is Burning, Nero increases the Damage of the weapons by X.",+X to Damage when the enemy ship is Burning,"1.0, 1.0, 1.0","0.4, 0.1, 0.2",FALSE,TRUE,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,➖,AllDamage,➖,AllDamage,1824840463,656972203,15,Epic,,Burning,TargetHasBurning,1,1,1,,,0.4,0.1,0.2,,,,
30,NERO,OA,NERO'S CREW,AddState,,EnemyTakesHit,EnemyShip,MultiplySub,"num_rounds=2, state=2","Every time the ship strikes the opponent with a weapon attack, Nero has a X chance of Burning it for two rounds.",X chance to cause Burning to the enemy when hitting it,"0.25, 0.3, 0.35, 0.4, 0.5","0.25, 0.3, 0.35, 0.4, 0.5",TRUE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,AddState,➖,AddState,1215201819,656972203,15,Epic,,,,0.25,0.3,0.35,0.4,0.5,0.25,0.3,0.35,0.4,0.5,,
31,VEMET,CM,NERO'S CREW,HullHPRepair,,ShieldsDepleted,SelfShip,MultiplySub,,"If the ship survives an attack that depletes its shields and is destroyed in one of the following attacks during the same battle, the battle is lost but Vemet heals X of the Hull Health and the ship survives. This takes precedence over the NSEA Protector’s Omega-13 Ship Ability and does not stack.",The ship can resurrect with X of the ship's hull health. This takes precedence over the NSEA Protector’s Omega-13 Ship Ability and does not stack.,"1.0, 1.0, 1.0","0.05, 0.02, 0.05",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,HullHPRepair,➖,HullHPRepair,4289717791,2959514562,16,Rare,,,,1,1,1,,,0.05,0.02,0.05,,,,
32,VEMET,OA,NERO'S CREW,ShieldHPRepair,TargetHasBurning,RoundStart,EnemyShip,MultiplyBaseSub,officer_stat=3,"At the beginning of each round, if the opponent's ship is Burning, Vemet decreases its Shield Health by an amount equal to X of the Health of all Officers on the ship.",X of total Officer Health deducted from the Shield Health of a Burning ship each round,"1.0, 1.0, 1.0, 1.0, 1.0","0.25, 0.5, 1.0, 4.0, 7.5",FALSE,TRUE,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,➖,ShieldHPRepair,➖,ShieldHPRepair,2633638696,2959514562,16,Rare,,Burning,TargetHasBurning,1,1,1,1,1,0.25,0.5,1,4,7.5,,
33,KUMAK,CM,NERO'S CREW,OfficerStatAll,,RoundStart,SelfAll,MultiplyAdd,,"At the beginning of each round, Kumak increases the stats of all Officers on the ship by X.",+X to all Officer Stats each round,"1.0, 1.0, 1.0","0.05, 0.02, 0.05",FALSE,TRUE,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,✅,,➖,OfficerStatAll,➖,OfficerStatAll,1446865370,1983456684,17,Rare,,,,1,1,1,,,0.05,0.02,0.05,,,,
34,KUMAK,OA,NERO'S CREW,AllDefenses,TargetHasBurning,RoundStart,SelfShip,MultiplyAdd,num_rounds=1,"As long as the enemy ship is Burning, Kumak increases the Armor, Shield Deflection and Dodge of the ship by X.","+X To Armor, Shield Deflection and Dodge when the opponent is Burning","1.0, 1.0, 1.0, 1.0, 1.0","0.4, 0.5, 0.6, 0.8, 1.0",FALSE,TRUE,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,✴️,TargetHasBurning,➖,AllDefenses,➖,AllDefenses,2642188917,1983456684,17,Rare,,Burning,TargetHasBurning,1,1,1,1,1,0.4,0.5,0.6,0.8,1,,
35,LIVIS,CM,NERO'S CREW,RepairTime,SelfBattleship,ShipRecalled,SelfShip,MultiplyAdd,,Livis decreases the time needed to repair the ship by X if it is a Battleship.,+X to Repair speed on this ship if it is a Battleship,"1.0, 1.0, 1.0","0.1, 0.05, 0.1",FALSE,TRUE,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,➖,RepairTime,✅,,2144007762,2333021829,18,Rare,,,,1,1,1,,,0.1,0.05,0.1,,,,
