,,,,,,,,,,,,,,,,,,,,
,,,   Rarity,OfficerName,,PvP Space,PvP Station,Red Moving Space,Waves,QTrial,Mission Bosses,Group Armadas,Solo Armadas,Invading Entities,Assaults,Outpost Armadas,Outpost Retaliation Attackers,Reason,Loot,Utility
,,,   R,CHANG,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HullHealthBelow,➖,➖
,,,   R,CHANG,OA,✴️,✴️,✴️,✴️,✴️,✴️,➖,➖,➖,➖,✴️,   ✴️,TargetHasHullBreach,➖,➖
,,,   R,KERLA,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,KERLA,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,ModuleKinetic,➖,➖
,,,   R,AZETBUR,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HitEnemyWithKinetic,➖,➖
,,,   R,AZETBUR,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,KOTH,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,KOTH,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,"ModuleKinetic, TargetHasHullBreach",➖,➖
,,,   U,WOTELN,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,EnemyBattleship,➖,➖
,,,   U,WOTELN,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfInterceptor,➖,➖
,,,   U,M'RAL,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,M'RAL,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,NERO,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,TargetHasBurning,➖,➖
,,,   E,NERO,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,VEMET,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,VEMET,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,TargetHasBurning,➖,➖
,,,   R,KUMAK,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,KUMAK,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,TargetHasBurning,➖,➖
,,,   R,LIVIS,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,LIVIS,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfBattleship,➖,➖
,,,   U,ARIX,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HitEnemyWithEnergy,➖,➖
,,,   U,ARIX,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HullHealthBelowStartOfCombat,➖,➖
,,,   U,VELLA,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,EnemyExplorer,➖,➖
,,,   U,VELLA,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,JAVAID,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,JAVAID,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfBattleship,➖,➖
,,,   R,T'PRING,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,T'PRING,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,STONN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,STONN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,BAROT,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,BAROT,OA,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,when mining,➖,➖
,,,   C,DOMITIA,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   C,DOMITIA,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   C,K'BISCH,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   C,K'BISCH,OA,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,"docked on a node, on a Mining Node",➖,➖
,,,   C,HELVIA,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   C,HELVIA,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,GONZALES,CM,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   U,GONZALES,OA,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   U,CHEN,CM,➖,➖,✴️,✴️,✴️,➖,✴️,✴️,✴️,➖,➖,   ➖,target level 51 or under,➖,➖
,,,   U,CHEN,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"TargetMaxLevel, ModuleEnergy",➖,➖
,,,   C,GAILA,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,GAILA,OA,➖,➖,✴️,✴️,✴️,➖,✴️,✴️,✴️,➖,➖,   ➖,target level 70 or under,➖,➖
,,,   C,SHEV,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,SHEV,OA,➖,➖,✴️,✴️,✴️,➖,✴️,✴️,✴️,➖,➖,   ➖,ModuleEnergy,➖,➖
,,,   C,T'LAAN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   C,T'LAAN,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,"TargetMaxLevel, ModuleKinetic",➖,➖
,,,   C,VEL,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,VEL,OA,➖,➖,✴️,✴️,✴️,➖,✴️,✴️,✴️,➖,➖,   ➖,ModuleKinetic,➖,➖
,,,   C,M'BENGA,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   C,M'BENGA,OA,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,KURON,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,ModuleKinetic,➖,➖
,,,   R,KURON,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,YAN'AGH,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,YAN'AGH,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Romulan,➖,➖
,,,   R,TAL,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,EnemyBattleship,➖,➖
,,,   R,TAL,OA,✴️,✴️,✴️,✴️,➖,✴️,➖,➖,➖,➖,✴️,   ✴️,"TargetMaxLevel, TargetHasBurning",➖,➖
,,,   U,D'JAOKI,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,D'JAOKI,OA,✴️,✴️,✴️,✴️,✴️,✴️,➖,➖,➖,➖,✴️,   ✴️,TargetHasBurning,➖,➖
,,,   R,KEENSER,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,KEENSER,OA,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   U,718,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   U,718,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,MITCHELL,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,MITCHELL,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,KOMAL,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfBattleship,➖,➖
,,,   C,KOMAL,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,ModuleKinetic,➖,➖
,,,   C,VARTOQ,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfInterceptor,➖,➖
,,,   C,VARTOQ,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,ModuleKinetic,➖,➖
,,,   C,RUKOR,CM,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,SelfExplorer,➖,➖
,,,   C,RUKOR,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,ModuleEnergy,➖,➖
,,,   C,DARWIN,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   C,DARWIN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,LESLIE,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HullHealthBelowStartOfCombat,➖,➖
,,,   U,LESLIE,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,DECIUS,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,EnemyStronger,➖,➖
,,,   R,DECIUS,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,KANG,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,KANG,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,MARA,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,EnemyInterceptor,➖,➖
,,,   R,MARA,OA,✴️,✴️,✴️,✴️,✴️,✴️,➖,➖,➖,➖,✴️,   ✴️,TargetHasHullBreach,➖,➖
,,,   R,KRELL,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,KRELL,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Federation,➖,➖
,,,   U,QA'UG,CM,✴️,✴️,✴️,✴️,✴️,✴️,➖,➖,➖,➖,✴️,   ✴️,SelfHasHullBreach,➖,➖
,,,   U,QA'UG,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfHasHullBreach,➖,➖
,,,   U,LINKASA,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,LINKASA,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,CHARVANEK,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HullHealthBelowStartOfCombat,➖,➖
,,,   E,CHARVANEK,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,MIREK,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,MIREK,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Federation,➖,➖
,,,   U,L'NAR,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,L'NAR,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Klingon,➖,➖
,,,   U,SEVERUS,CM,✴️,✴️,✴️,✴️,✴️,✴️,➖,➖,➖,➖,✴️,   ✴️,SelfHasBurning,➖,➖
,,,   U,SEVERUS,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfHasBurning,➖,➖
,,,   E,MARCUS,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HullHealthBelow,➖,➖
,,,   E,MARCUS,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,YUKI,CM,✅,✅,✅,✅,✅,✅,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   R,YUKI,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Romulan,➖,➖
,,,   R,HARRISON,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,"TargetMaxLevel, EnemyExplorer",➖,➖
,,,   R,HARRISON,OA,✴️,✴️,✴️,✴️,✴️,✴️,➖,➖,➖,➖,✴️,   ✴️,target level 70 or under,➖,➖
,,,   R,DUPONT,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,DUPONT,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,ZHOU,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,ZHOU,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfHasMorale,➖,➖
,,,   U,MÄKINEN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,MÄKINEN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,PIKE,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,target level 70 or under,➖,➖
,,,   E,PIKE,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,MOREAU,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,MOREAU,OA,➖,➖,✴️,✴️,✴️,➖,➖,➖,➖,➖,➖,   ➖,target level 70 or under,➖,➖
,,,   U,HENDORFF,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,HullHealthBelowStartOfCombat,➖,➖
,,,   U,HENDORFF,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   C,HADLEY,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   C,HADLEY,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,CAROL,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,CAROL,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,ZAHRA,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   C,ZAHRA,OA,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,KHAN,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,KHAN,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,JOACHIM,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,JOACHIM,OA,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,MARLA,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,MARLA,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,JOAQUIN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,JOAQUIN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,OTTO,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   U,OTTO,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,KATI,CM,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   U,KATI,OA,➖,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   R,NAVI,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfHasHullBreach,➖,➖
,,,   R,NAVI,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfHasHullBreach,➖,➖
,,,   R,PAN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,PAN,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,RIMA,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfHasHullBreach,➖,➖
,,,   R,RIMA,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,SelfHasHullBreach,➖,➖
,,,   E,MUDD,CM,➖,➖,➖,➖,➖,➖,✴️,✴️,➖,➖,➖,   ➖,target level 70 or under,➖,➖
,,,   E,MUDD,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,target level 70 or under,➖,➖
,,,   E,EURYDICE,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,target level 70 or under,➖,➖
,,,   E,EURYDICE,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,target level 70 or under,➖,➖
,,,   C,SESHA,CM,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Eclipse,➖,➖
,,,   C,SESHA,OA,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Eclipse,➖,➖
,,,   R,RO MUDD,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,RO MUDD,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,GOON,CM,➖,➖,✅,✅,✅,➖,✅,✅,✅,➖,➖,   ➖,,➖,➖
,,,   U,GOON,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,AHVIX,CM,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Eclipse,➖,➖
,,,   R,AHVIX,OA,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Eclipse,➖,➖
,,,   C,TIZA,CM,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Eclipse,➖,➖
,,,   C,TIZA,OA,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,Eclipse,➖,➖
,,,   E,HARRY MUDD,CM,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,target level 70 or under,➖,➖
,,,   E,HARRY MUDD,OA,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,✴️,   ✴️,target level 70 or under,➖,➖
,,,   E,KRAS,CM,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   E,KRAS,OA,✅,✅,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,➖
,,,   U,KLAA,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   U,KLAA,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   U,VIXIS,CM,✅,✅,✅,✅,✅,✅,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   U,VIXIS,OA,✴️,✴️,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,ModuleEnergy,➖,➖
,,,   C,CADET KIRK,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,CADET KIRK,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,INSTR. SPOCK,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,INSTR. SPOCK,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,CADET MCCOY,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,CADET MCCOY,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,CADET SCOTTY,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,CADET SCOTTY,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   C,CADET UHURA,CM,✅,✅,✅,✅,✅,✅,➖,➖,➖,➖,✅,   ✅,,➖,➖
,,,   C,CADET UHURA,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,CADET SULU,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   C,CADET SULU,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,JAYLAH,CM,➖,➖,✴️,➖,➖,➖,✴️,✴️,✴️,➖,✴️,   ✴️,CombatPveRewards (on USS-Franklin(-A)),✅,➖
,,,   E,JAYLAH,OA,➖,➖,✴️,✴️,✴️,✴️,✴️,✴️,➖,✴️,➖,   ➖,"EnemyHullFaction, SelfHullFranklins",➖,➖
,,,   R,ONE OF ELEVEN,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   R,ONE OF ELEVEN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,TWO OF ELEVEN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   R,TWO OF ELEVEN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,THREE OF ELEVEN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,THREE OF ELEVEN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,FOUR OF ELEVEN,CM,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,FOUR OF ELEVEN,OA,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,➖,   ➖,,➖,✅
,,,   E,FIVE OF ELEVEN,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,FIVE OF ELEVEN,OA,➖,➖,✅,➖,➖,➖,✅,✅,✅,➖,✅,   ✅,,✅,➖
,,,   E,SIX OF ELEVEN,CM,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
,,,   E,SIX OF ELEVEN,OA,➖,➖,➖,➖,➖,➖,✅,✅,➖,➖,➖,   ➖,,➖,➖
,,,   R,SEVEN OF ELEVEN,CM,➖,➖,✴️,✴️,✴️,✴️,➖,➖,➖,✴️,➖,   ➖,Borg,➖,➖
,,,   R,SEVEN OF ELEVEN,OA,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,   ✅,,➖,➖
